"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1740738","1.1.1.21","1383.54","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1740738","1.1.1.21","1437.58","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1740747","1.1.1.34","1096.12","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1740747","1.1.1.34","1137.93","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1740747","1.1.1.34","1155.83","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1740747","1.1.1.34","1189.34","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1740747","1.1.1.34","1258.11","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Service producing industries [41-91N]","Current dollars","75","units","0","v1740816","1.1.1.143","946.11","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Service producing industries [41-91N]","Current dollars","75","units","0","v1740816","1.1.1.143","971.96","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Service producing industries [41-91N]","Current dollars","75","units","0","v1740816","1.1.1.143","1049.42","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Service producing industries [41-91N]","Current dollars","75","units","0","v1740816","1.1.1.143","1080.89","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Service producing industries [41-91N]","Current dollars","75","units","0","v1740816","1.1.1.143","1109.63","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1740817","1.1.1.144","784.82","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1740817","1.1.1.144","794.42","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1740817","1.1.1.144","835.49","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1740817","1.1.1.144","853.14","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1740817","1.1.1.144","900.60","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1740923","1.1.1.215","1035.28","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1740923","1.1.1.215","1091.45","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1740923","1.1.1.215","1157.69","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1740923","1.1.1.215","1173.38","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1740923","1.1.1.215","1222.07","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v1740947","1.1.1.253","1278.14","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v1740947","1.1.1.253","1310.09","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v1740947","1.1.1.253","1423.97","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v1740947","1.1.1.253","1587.64","A","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v1740947","1.1.1.253","1559.30","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1740960","1.1.1.267","1348.43","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1740960","1.1.1.267","1360.80","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1740960","1.1.1.267","1454.83","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1740960","1.1.1.267","1477.85","A","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1740960","1.1.1.267","1550.87","A","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1740969","1.1.1.284","1039.35","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1740969","1.1.1.284","1044.35","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1740969","1.1.1.284","1121.92","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1740969","1.1.1.284","1183.60","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1740969","1.1.1.284","1221.97","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1740978","1.1.1.295","1385.53","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1740978","1.1.1.295","1439.18","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1740978","1.1.1.295","1480.73","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1740978","1.1.1.295","1534.31","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1740978","1.1.1.295","1633.11","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Management of companies and enterprises [55,551,5511]","Current dollars","75","units","0","v1740984","1.1.1.306","1676.29","B","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Management of companies and enterprises [55,551,5511]","Current dollars","75","units","0","v1740984","1.1.1.306","1570.41","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Management of companies and enterprises [55,551,5511]","Current dollars","75","units","0","v1740984","1.1.1.306","1551.68","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Management of companies and enterprises [55,551,5511]","Current dollars","75","units","0","v1740984","1.1.1.306","1541.48","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Management of companies and enterprises [55,551,5511]","Current dollars","75","units","0","v1740984","1.1.1.306","1541.34","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Administrative and support, waste management and remediation services [56]","Current dollars","75","units","0","v1740985","1.1.1.307","796.92","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Administrative and support, waste management and remediation services [56]","Current dollars","75","units","0","v1740985","1.1.1.307","845.14","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Administrative and support, waste management and remediation services [56]","Current dollars","75","units","0","v1740985","1.1.1.307","891.67","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Administrative and support, waste management and remediation services [56]","Current dollars","75","units","0","v1740985","1.1.1.307","955.21","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Administrative and support, waste management and remediation services [56]","Current dollars","75","units","0","v1740985","1.1.1.307","966.32","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1740994","1.1.1.321","1048.02","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1740994","1.1.1.321","1069.28","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1740994","1.1.1.321","1130.22","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1740994","1.1.1.321","1164.68","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1740994","1.1.1.321","1160.81","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1740873","1.1.1.331","908.04","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1740873","1.1.1.331","937.18","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1740873","1.1.1.331","999.56","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1740873","1.1.1.331","1004.36","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1740873","1.1.1.331","1031.09","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Arts, entertainment and recreation [71]","Current dollars","75","units","0","v1740890","1.1.1.354","601.31","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Arts, entertainment and recreation [71]","Current dollars","75","units","0","v1740890","1.1.1.354","621.14","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Arts, entertainment and recreation [71]","Current dollars","75","units","0","v1740890","1.1.1.354","700.66","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Arts, entertainment and recreation [71]","Current dollars","75","units","0","v1740890","1.1.1.354","723.88","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Arts, entertainment and recreation [71]","Current dollars","75","units","0","v1740890","1.1.1.354","710.81","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1740899","1.1.1.367","404.15","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1740899","1.1.1.367","419.76","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1740899","1.1.1.367","436.99","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1740899","1.1.1.367","458.01","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1740899","1.1.1.367","465.13","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Other services (except public administration) [81]","Current dollars","75","units","0","v1740905","1.1.1.377","828.71","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Other services (except public administration) [81]","Current dollars","75","units","0","v1740905","1.1.1.377","854.91","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Other services (except public administration) [81]","Current dollars","75","units","0","v1740905","1.1.1.377","919.32","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Other services (except public administration) [81]","Current dollars","75","units","0","v1740905","1.1.1.377","960.90","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Other services (except public administration) [81]","Current dollars","75","units","0","v1740905","1.1.1.377","983.28","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1740919","1.1.1.393","1307.70","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1740919","1.1.1.393","1336.12","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1740919","1.1.1.393","1419.03","A","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1740919","1.1.1.393","1464.69","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1740919","1.1.1.393","1502.00","B","","","2"


